code,code_two,latin_name,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
PNB,Native,Populus nigra Betulifolia,Native,Deciduous,55.965217,-3.206917,54,24.5,U,35.9,49.7222,0.3153,10.59,0.44,4.63,62.78,
PNB,Native,Populus nigra Betulifolia,Native,Deciduous,55.965217,-3.206917,54,24.5,L,34.3,48.1056,0.2636,14.25,-0.75,3.71,60.51,
PNB,Native,Populus nigra Betulifolia,Native,Deciduous,55.965217,-3.206917,54,24.5,L,29,53.3588,0.3573,11.74,0.01,4.17,64.67,
PNB,Native,Populus nigra Betulifolia,Native,Deciduous,55.965217,-3.206917,54,24.5,L,34,51.7079,0.3093,12.99,-0.21,3.26,65.42,
PP,Native,Prunus padus,Native,Deciduous,55.964233,-3.204067,10,16,U,40.8,43.8664,0.4086,14.39,-0.74,4.28,69.98,
PP,Native,Prunus padus,Native,Deciduous,55.964233,-3.204067,10,16,U,37,40.2721,0.4819,16.36,-0.28,5.69,73.32,
PP,Native,Prunus padus,Native,Deciduous,55.964233,-3.204067,10,16,U,37,34.0047,0.498,12.15,-0.45,5.66,97.51,
PP,Native,Prunus padus,Native,Deciduous,55.964233,-3.204067,10,16,L,37.3,32.2547,0.3747,13.64,-1.02,4.21,64.91,
PP,Native,Prunus padus,Native,Deciduous,55.964233,-3.204067,10,16,L,37.7,38.705,0.3772,11.48,-1.44,6.89,96.23,
PP,Native,Prunus padus,Native,Deciduous,55.964233,-3.204067,10,16,L,39.9,35.5597,0.456,12.44,-1.22,4.1,98.31,
PT,Native,Populus tremula,Native,Deciduous,55.963917,-3.211267,50,38,U,41.8,72.1585,0.4441,12.49,0.37,5.73,82.81,
PT,Native,Populus tremula,Native,Deciduous,55.963917,-3.211267,50,38,U,42.7,73.8097,0.4291,14.06,0.33,5.37,98.19,
PT,Native,Populus tremula,Native,Deciduous,55.963917,-3.211267,50,38,U,40.7,69.7045,0.4546,10.27,0.18,4.22,58.22,
PT,Native,Populus tremula,Native,Deciduous,55.963917,-3.211267,50,38,L,43.2,47.737,0.3316,11.51,-1.57,4.32,78.31,
PT,Native,Populus tremula,Native,Deciduous,55.963917,-3.211267,50,38,L,45.9,51.4669,0.2671,10.99,-1.12,5.24,93.81,
